player_id,first_name,last_name,position,bats,throws,dob,height,weight,batting_average,earned_run_average,wins_above_replacement,on_base_percentage,fielding_percentage,slugging_percentage,location_lat,location_long
1,Calvin,Roman,2,left,right,9/21/1998,79,175,0.262,,1,0.302,0.961,0.463,30.50665787,-97.34087807
2,Zechariah,Gonzales,1,right,left,10/5/1995,80,191,0.281,4.87,7.9,0.38,0.968,0.424,30.65259846,-97.74199635
3,Jerimiah,Salas,2,right,left,2/13/1997,74,218,0.218,,4.7,0.338,0.953,0.494,30.75957481,-97.55237538
4,Henry,Chang,1,switch,left,6/30/1999,67,141,0.348,2.91,4.7,0.396,0.985,0.355,30.31880634,-97.72403767
5,Lachlan,Richardson,3,right,left,12/16/1998,77,161,0.261,,3.9,0.307,0.954,0.552,30.71048156,-97.56229744
6,Abram,Odonnell,2,switch,left,2/16/2001,75,159,0.283,,1.6,0.385,0.965,0.512,30.67373659,-97.70797153
7,Douglas,Warren,9,right,right,4/29/2003,72,202,0.283,,4.1,0.375,0.993,0.528,30.29542566,-97.31366421
8,Leland,Davis,4,right,left,6/14/2000,66,190,0.309,,7,0.361,0.985,0.578,30.44432128,-97.73269803
9,Dane,Newton,1,switch,left,8/2/1997,70,157,0.264,2.23,9.7,0.345,0.967,0.457,30.38706482,-97.36843397
10,Faith,Ballard,1,right,right,10/28/2002,70,239,0.321,2.95,2.9,0.386,0.992,0.574,30.75831055,-97.6182922
11,Lewis,Spencer,2,switch,left,9/12/1998,70,180,0.348,,3.4,0.302,0.988,0.545,30.72902728,-97.37533282
12,Salvatore,Greene,1,right,right,1/26/2004,80,154,0.331,3.46,1.5,0.391,0.975,0.518,30.45155494,-97.47410451
13,Alex,Yang,1,left,left,12/17/1999,70,223,0.288,2.76,7.8,0.325,0.975,0.373,30.41011545,-97.56241567
14,Muhammad,Mejia,1,switch,left,2/25/1998,66,188,0.337,3.34,2.2,0.348,0.997,0.543,30.45511486,-97.30877805
15,Charlie,Stephens,2,left,left,6/17/2003,80,191,0.285,,1.2,0.313,0.956,0.446,30.57982992,-97.55884879
16,Imran,Hammond,9,left,left,9/12/2003,74,149,0.254,,5.2,0.385,0.975,0.407,30.47928849,-97.40885316
17,Troy,Forbes,1,switch,right,12/8/2001,65,205,0.305,3.54,6.4,0.371,0.954,0.471,30.59434108,-97.24899336
18,Bryant,Robles,9,left,right,2/16/1998,75,143,0.282,,3.2,0.396,0.952,0.374,30.45276783,-97.46205072
19,Zion,Mueller,1,right,right,8/30/1998,74,248,0.211,4.18,4.9,0.362,0.963,0.586,30.52028775,-97.65742044
20,Douglas,Fox,2,left,right,2/27/2003,79,247,0.227,,7.2,0.343,0.963,0.511,30.5777123,-97.64388266
21,Kolton,Acosta,6,right,left,9/29/1998,79,151,0.326,,2.4,0.397,0.981,0.562,30.48156897,-97.36949609
22,Alejandro,Durham,9,switch,left,7/2/1996,72,152,0.217,,4.2,0.312,0.958,0.546,30.71720698,-97.29528331
23,Conor,Gardner,1,left,left,5/8/2000,79,206,0.297,3.81,8.1,0.308,0.982,0.431,30.36915965,-97.3810872
24,Memphis,Andrews,1,switch,right,10/15/1997,69,144,0.303,3.29,7.6,0.375,0.971,0.379,30.70993564,-97.69685334
25,Valentin,Fowler,1,right,left,8/4/1998,76,191,0.301,4.67,3,0.321,0.966,0.567,30.52017076,-97.53178243
26,Cayden,Flynn,1,left,left,9/21/1999,73,160,0.266,2.23,2.4,0.362,0.998,0.402,30.2920164,-97.42662919
27,Todd,Douglas,1,switch,right,9/14/2001,79,229,0.275,2.27,0.1,0.361,0.971,0.475,30.27716894,-97.71227555
28,Robert,House,9,left,left,12/2/1999,67,240,0.209,,0.6,0.303,0.98,0.414,30.75736753,-97.46674216
29,Heinz,Pham,1,right,left,9/18/1997,67,192,0.336,2.22,4.2,0.311,0.964,0.521,30.29341166,-97.29019484
30,Jakob,Fitzpatrick,1,left,left,1/11/2000,66,165,0.27,3.31,2.5,0.399,0.988,0.546,30.7173271,-97.48834083
31,Anthony,Hurley,1,left,right,8/19/2003,71,186,0.238,2.43,7.2,0.395,0.972,0.405,30.48740064,-97.73007411
32,Alec,Kidd,9,switch,left,2/2/1997,73,169,0.269,,5.2,0.33,0.96,0.459,30.53705367,-97.56848156
33,Bridger,Mckenzie,2,switch,left,6/28/1996,76,247,0.3,,9.2,0.362,0.974,0.395,30.69373851,-97.57660032
34,Teo,Terrell,1,switch,right,10/17/2001,67,243,0.348,4.97,1.2,0.392,0.979,0.421,30.43018877,-97.58375536
35,Sean,Wade,2,right,right,4/17/1997,71,150,0.239,,3.5,0.324,0.955,0.538,30.59149195,-97.64170614
36,Jackson,Arnold,2,switch,left,10/29/1997,76,153,0.278,,2.7,0.329,0.966,0.512,30.54808024,-97.29699691
37,Lachlan,Torres,1,left,left,1/13/1997,66,201,0.266,4.19,9.1,0.309,0.987,0.42,30.68318128,-97.24581916
38,Troy,Jefferson,7,switch,right,3/15/2001,67,159,0.278,,0.4,0.361,0.953,0.545,30.5414257,-97.46339942
39,Kierce,Fletcher,1,switch,left,6/11/2000,73,162,0.291,4.98,4.4,0.33,0.952,0.586,30.32625576,-97.58265481
40,Muhammad,Jacobs,3,switch,left,4/4/2000,65,192,0.286,,0.7,0.309,0.967,0.386,30.38500588,-97.52092098
41,Felipe,Douglas,2,right,left,7/6/1995,74,206,0.335,,8.5,0.361,0.986,0.436,30.28807307,-97.70830367
42,Joey,Mayer,5,left,right,9/23/2001,71,229,0.225,,5.9,0.343,0.989,0.39,30.60249091,-97.55654615
43,Faith,Wang,2,left,right,2/1/2000,69,161,0.284,,6.6,0.377,0.978,0.571,30.30918992,-97.40739133
44,Fritz,Chambers,1,switch,right,7/3/1998,72,175,0.266,4.71,2.1,0.36,0.989,0.526,30.37348254,-97.48765347
45,Jude,Acosta,1,left,right,1/24/1996,75,167,0.301,4.11,4.7,0.363,0.986,0.584,30.65866278,-97.58143998
46,Harrison,Ellison,5,switch,right,6/10/1999,66,157,0.209,,1.1,0.352,0.999,0.565,30.49484256,-97.45888531
47,Charlie,Sellers,2,right,right,3/16/1995,65,210,0.229,,5.4,0.393,0.963,0.478,30.57311361,-97.43700345
48,Ben,Decker,2,switch,right,12/10/1998,69,217,0.299,,4.6,0.369,0.963,0.538,30.37078405,-97.37787508
49,Alex,Stark,1,left,left,11/4/1998,76,145,0.349,2.37,1.7,0.339,0.957,0.546,30.35717928,-97.54670925
50,Theo,Estrada,8,switch,right,8/19/2003,69,146,0.267,,9.4,0.362,0.951,0.364,30.40951713,-97.41467687
51,Rylee,Stuart,1,left,right,9/1/1996,73,166,0.289,3.73,6,0.377,0.986,0.519,30.33199033,-97.55681744
52,Kierce,Bridges,2,right,right,10/16/1999,67,142,0.203,,6.5,0.396,0.999,0.521,30.35572526,-97.57433007
53,Mario,Cain,1,left,left,6/10/2001,69,202,0.253,2.53,8.1,0.399,0.97,0.496,30.34659316,-97.31040717
54,Tristin,Perry,1,right,left,8/17/1998,68,144,0.324,2.28,2.2,0.363,0.967,0.383,30.56026105,-97.29812215
55,Eden,Smith,2,switch,right,6/14/2000,67,161,0.283,,1.3,0.325,0.951,0.572,30.75399569,-97.64060954
56,Kira,Garrett,5,right,right,8/13/1997,72,231,0.308,,7.6,0.313,0.962,0.423,30.3384119,-97.50993768
57,Ricky,Walton,1,switch,left,5/20/1996,75,233,0.301,4.02,1.2,0.347,0.982,0.418,30.54990388,-97.7055343
58,Kelly,Davies,1,left,right,4/18/2001,73,156,0.302,3.05,4.7,0.349,0.985,0.376,30.58131511,-97.6206629
59,Lucas,Spencer,5,left,right,9/24/1998,65,212,0.271,,1,0.375,0.956,0.582,30.67946692,-97.57340233
60,Aarav,Buchanan,5,left,right,9/26/1997,75,192,0.202,,9.7,0.361,0.966,0.411,30.52057505,-97.29186282
61,Leonardo,Acevedo,8,switch,right,12/6/1999,69,174,0.283,,3.4,0.391,0.974,0.579,30.31964759,-97.57250821
62,Terry,Fox,5,right,left,11/13/1995,80,193,0.253,,2.4,0.314,0.999,0.477,30.61943385,-97.65793522
63,Irvin,Donaldson,6,switch,right,3/11/1997,69,147,0.217,,5.5,0.337,0.99,0.395,30.2947529,-97.42794279
64,Joshua,Cox,2,switch,right,9/7/1995,68,186,0.277,,1.9,0.352,0.952,0.373,30.47034592,-97.68516405
65,Hashim,Decker,4,left,left,3/4/2000,68,140,0.212,,1.3,0.346,0.988,0.566,30.71187663,-97.29993658
66,Larry,Hammond,4,left,right,5/15/1996,80,230,0.289,,8.6,0.375,1,0.463,30.64900565,-97.30064327
67,Gauge,Franklin,1,right,left,5/11/1998,67,175,0.273,2.47,5.2,0.357,0.99,0.496,30.70033509,-97.57274898
68,Braylon,Hensley,2,switch,right,7/27/2001,70,160,0.321,,3.1,0.381,0.977,0.514,30.5804325,-97.54040821
69,Ramon,Holmes,1,left,right,1/23/1998,75,231,0.229,3.34,9.7,0.362,1,0.452,30.3496663,-97.33311828
70,Lenard,Torres,2,switch,left,1/27/2001,68,174,0.338,,5,0.315,0.965,0.369,30.51067461,-97.2826788
71,Alejandro,Franklin,2,left,left,6/22/2003,66,155,0.223,,6,0.398,0.965,0.417,30.37189262,-97.47742722
72,Jorden,Monroe,1,left,right,3/1/1996,76,165,0.223,4.7,3.3,0.356,0.967,0.457,30.76455889,-97.63048225
73,Heinz,Michael,8,switch,right,2/9/2002,77,156,0.295,,1.6,0.319,0.991,0.351,30.54302876,-97.68624353
74,Larry,Carney,9,right,right,3/26/2002,73,188,0.241,,5.8,0.348,0.968,0.394,30.33616352,-97.45077998
75,Zackery,Raymond,1,switch,left,11/1/1995,77,192,0.268,3.54,9.5,0.322,0.954,0.505,30.49847798,-97.59303322
76,Kelly,Trujillo,1,switch,left,12/2/1998,66,239,0.29,2.47,6.6,0.33,0.965,0.404,30.44457432,-97.30198317
77,Demetrius,Frazier,1,left,right,10/11/1995,76,236,0.28,4.74,3.7,0.39,0.997,0.492,30.47382989,-97.56716593
78,Ariel,Wyatt,7,left,right,5/24/1997,68,217,0.206,,9.3,0.32,0.952,0.428,30.58040417,-97.34413054
